participant.code,session.code,group.id_in_subsession,player.hours_stated,equal,group,channel,Chat_subject,Chat_group_all,Chat_sel
bajnqrps,bl673crl,2,60.0,True,bl673crl2,15-FHM-31,"Servus, 40 ist Basis, 10 Überstunden sind es gewesen aber unabhängig davon: doppelt oder nichts? 40 Überstunden angeben? Wirds geprüft ist es eben 0, wirds nicht geprüft direkt das Doppelte das ist auch wahr, dann sind 60 sinnvoll Deal! 60 sind im Pott danke ebenso ;)","Servus, 40 ist Basis, 10 Überstunden sind es gewesen aber unabhängig davon: doppelt oder nichts? 40 Überstunden angeben? Wirds geprüft ist es eben 0, wirds nicht geprüft direkt das Doppelte würd ich auch sagen, aber dann doch 60 Stunden angeben, oder? Können ja nicht ins ""minus"" und 60 sind maximak möglich das ist auch wahr, dann sind 60 sinnvoll okay, also sagen wir 60? Deal! 60 sind im Pott perfekt :) dann noch nen schönen tag danke ebenso ;)","Servus, 40 ist Basis, 10 Überstunden sind es gewesen aber unabhängig davon: doppelt oder nichts? 40 Überstunden angeben? Wirds geprüft ist es eben 0, wirds nicht geprüft direkt das Doppelte würd ich auch sagen, aber dann doch 60 Stunden angeben, oder? Können ja nicht ins ""minus"" und 60 sind maximak möglich das ist auch wahr, dann sind 60 sinnvoll okay, also sagen wir 60? Deal! 60 sind im Pott perfekt :) dann noch nen schönen tag danke ebenso ;)"
vs0simqf,bl673crl,2,60.0,True,bl673crl2,15-FHM-31,"würd ich auch sagen, aber dann doch 60 Stunden angeben, oder? Können ja nicht ins ""minus"" und 60 sind maximak möglich okay, also sagen wir 60? perfekt :) dann noch nen schönen tag","Servus, 40 ist Basis, 10 Überstunden sind es gewesen aber unabhängig davon: doppelt oder nichts? 40 Überstunden angeben? Wirds geprüft ist es eben 0, wirds nicht geprüft direkt das Doppelte würd ich auch sagen, aber dann doch 60 Stunden angeben, oder? Können ja nicht ins ""minus"" und 60 sind maximak möglich das ist auch wahr, dann sind 60 sinnvoll okay, also sagen wir 60? Deal! 60 sind im Pott perfekt :) dann noch nen schönen tag danke ebenso ;)","Servus, 40 ist Basis, 10 Überstunden sind es gewesen aber unabhängig davon: doppelt oder nichts? 40 Überstunden angeben? Wirds geprüft ist es eben 0, wirds nicht geprüft direkt das Doppelte würd ich auch sagen, aber dann doch 60 Stunden angeben, oder? Können ja nicht ins ""minus"" und 60 sind maximak möglich das ist auch wahr, dann sind 60 sinnvoll okay, also sagen wir 60? Deal! 60 sind im Pott perfekt :) dann noch nen schönen tag danke ebenso ;)"
kqu8ocgd,bl673crl,3,60.0,True,bl673crl3,15-FHM-32,"hallo joa ich überlege gerade noch haha also 10 wäre echt und bis zu 60 können wir sagen wenn wir lügen würde ich mind 30 sagen wenn wir daselbe sagen iegt die bei ca. 30% ja l na gut dann sagen wir 60 dann sind wir im schlimmsten fall bei den 2€ und können 12 verdienen excel sagt da siegt der erwartungswert ebenfalls also 60? gut, machs gut","Hey! hallo joa ich überlege gerade noch haha also 10 wäre echt und bis zu 60 können wir sagen wenn wir lügen würde ich mind 30 sagen Gut, aber die Wahrscheinlichkeit, überprüft zu werden, ist ja immer gleich hoch oder? Dann können wir auch 60 sagen haha wenn wir daselbe sagen iegt die bei ca. 30% ja l na gut dann sagen wir 60 dann sind wir im schlimmsten fall bei den 2€ und können 12 verdienen excel sagt da siegt der erwartungswert ebenfalls also 60? haha no risk no fun 60  gut, machs gut Tschüss","Hey! hallo joa ich überlege gerade noch haha also 10 wäre echt und bis zu 60 können wir sagen wenn wir lügen würde ich mind 30 sagen Gut, aber die Wahrscheinlichkeit, überprüft zu werden, ist ja immer gleich hoch oder? Dann können wir auch 60 sagen haha wenn wir daselbe sagen iegt die bei ca. 30% ja l na gut dann sagen wir 60 dann sind wir im schlimmsten fall bei den 2€ und können 12 verdienen excel sagt da siegt der erwartungswert ebenfalls also 60? haha no risk no fun 60  gut, machs gut Tschüss"
lt101d5t,bl673crl,3,60.0,True,bl673crl3,15-FHM-32,"Hey! Gut, aber die Wahrscheinlichkeit, überprüft zu werden, ist ja immer gleich hoch oder? Dann können wir auch 60 sagen haha haha no risk no fun 60  Tschüss","Hey! hallo joa ich überlege gerade noch haha also 10 wäre echt und bis zu 60 können wir sagen wenn wir lügen würde ich mind 30 sagen Gut, aber die Wahrscheinlichkeit, überprüft zu werden, ist ja immer gleich hoch oder? Dann können wir auch 60 sagen haha wenn wir daselbe sagen iegt die bei ca. 30% ja l na gut dann sagen wir 60 dann sind wir im schlimmsten fall bei den 2€ und können 12 verdienen excel sagt da siegt der erwartungswert ebenfalls also 60? haha no risk no fun 60  gut, machs gut Tschüss","Hey! hallo joa ich überlege gerade noch haha also 10 wäre echt und bis zu 60 können wir sagen wenn wir lügen würde ich mind 30 sagen Gut, aber die Wahrscheinlichkeit, überprüft zu werden, ist ja immer gleich hoch oder? Dann können wir auch 60 sagen haha wenn wir daselbe sagen iegt die bei ca. 30% ja l na gut dann sagen wir 60 dann sind wir im schlimmsten fall bei den 2€ und können 12 verdienen excel sagt da siegt der erwartungswert ebenfalls also 60? haha no risk no fun 60  gut, machs gut Tschüss"
3ucoa5vm,bl673crl,4,60.0,True,bl673crl4,15-FHM-33,"hallo ja bin auch dafür  ja ok kein thema, ok dann geh ich raus aus dem chat","hallo Hi ich bin dafür, dass wir die maximale Anzahl (60) angeben die chance, dass wir kontrolliert werden, ist niedrig  (nahe 30%) ist das okay für dich? ja bin auch dafür  super also geben wir beide 60 an.  ja ok danke kein thema, ok dann geh ich raus aus dem chat","hallo Hi ich bin dafür, dass wir die maximale Anzahl (60) angeben die chance, dass wir kontrolliert werden, ist niedrig  (nahe 30%) ist das okay für dich? ja bin auch dafür  super also geben wir beide 60 an.  ja ok danke kein thema, ok dann geh ich raus aus dem chat"
fvr21all,bl673crl,4,30.0,True,bl673crl4,15-FHM-33,"Hi ich bin dafür, dass wir die maximale Anzahl (60) angeben die chance, dass wir kontrolliert werden, ist niedrig  (nahe 30%) ist das okay für dich? super also geben wir beide 60 an.  danke","hallo Hi ich bin dafür, dass wir die maximale Anzahl (60) angeben die chance, dass wir kontrolliert werden, ist niedrig  (nahe 30%) ist das okay für dich? ja bin auch dafür  super also geben wir beide 60 an.  ja ok danke kein thema, ok dann geh ich raus aus dem chat","hallo Hi ich bin dafür, dass wir die maximale Anzahl (60) angeben die chance, dass wir kontrolliert werden, ist niedrig  (nahe 30%) ist das okay für dich? ja bin auch dafür  super also geben wir beide 60 an.  ja ok danke kein thema, ok dann geh ich raus aus dem chat"
y8x9y9e7,bl673crl,5,60.0,True,bl673crl5,15-FHM-34,"Hey, also wir haben 10 Überstunden gemacht. Magst du lieber nen sicheren betrag ausgezahlt bekommen? Ja gerne:)  also einfach 60 Stunden angeben? OK. geb das so ein. Viel Glück uns;) geh jetzt aus dem chat","Hey, also wir haben 10 Überstunden gemacht. Magst du lieber nen sicheren betrag ausgezahlt bekommen? Hey :) ich bin da ganz offen. Wir könnten auch auf Risiko gehen, wenn du magst Ja gerne:)  also einfach 60 Stunden angeben? ja, lass das mal versuchen :) OK. geb das so ein. Viel Glück uns;) danke, wünsche ich uns auch geh jetzt aus dem chat cya","Hey, also wir haben 10 Überstunden gemacht. Magst du lieber nen sicheren betrag ausgezahlt bekommen? Hey :) ich bin da ganz offen. Wir könnten auch auf Risiko gehen, wenn du magst Ja gerne:)  also einfach 60 Stunden angeben? ja, lass das mal versuchen :) OK. geb das so ein. Viel Glück uns;) danke, wünsche ich uns auch geh jetzt aus dem chat cya"
hf6qlt86,bl673crl,5,15.0,True,bl673crl5,15-FHM-34,"Hey :) ich bin da ganz offen. Wir könnten auch auf Risiko gehen, wenn du magst ja, lass das mal versuchen :) danke, wünsche ich uns auch cya","Hey, also wir haben 10 Überstunden gemacht. Magst du lieber nen sicheren betrag ausgezahlt bekommen? Hey :) ich bin da ganz offen. Wir könnten auch auf Risiko gehen, wenn du magst Ja gerne:)  also einfach 60 Stunden angeben? ja, lass das mal versuchen :) OK. geb das so ein. Viel Glück uns;) danke, wünsche ich uns auch geh jetzt aus dem chat cya","Hey, also wir haben 10 Überstunden gemacht. Magst du lieber nen sicheren betrag ausgezahlt bekommen? Hey :) ich bin da ganz offen. Wir könnten auch auf Risiko gehen, wenn du magst Ja gerne:)  also einfach 60 Stunden angeben? ja, lass das mal versuchen :) OK. geb das so ein. Viel Glück uns;) danke, wünsche ich uns auch geh jetzt aus dem chat cya"
hlcrps38,bl673crl,6,20.0,True,bl673crl6,15-FHM-35,Hallo Wie viele Überstunden geben wir an? genau man kann maximal 60 machen alles klar! ehrlich währt am längsten :D  super machs gut Mitarbeiter!,"Hallo Hallo Wie viele Überstunden geben wir an? Wir haben ja zusammen 20 und wären mit einer Angabe von 20 Überstunden korrekt, oder?! genau man kann maximal 60 machen Dann würde ich sagen wir geben 20 an alles klar! ehrlich währt am längsten :D  Super, dann wir beide 20 und jetzt auf Chat-beenden!? Sehe ich genauso super machs gut Mitarbeiter! Gleichfalls","Hallo Hallo Wie viele Überstunden geben wir an? Wir haben ja zusammen 20 und wären mit einer Angabe von 20 Überstunden korrekt, oder?! genau man kann maximal 60 machen Dann würde ich sagen wir geben 20 an alles klar! ehrlich währt am längsten :D  Super, dann wir beide 20 und jetzt auf Chat-beenden!? Sehe ich genauso super machs gut Mitarbeiter! Gleichfalls"
9d4pj4wc,bl673crl,6,20.0,True,bl673crl6,15-FHM-35,"Hallo Wir haben ja zusammen 20 und wären mit einer Angabe von 20 Überstunden korrekt, oder?! Dann würde ich sagen wir geben 20 an Super, dann wir beide 20 und jetzt auf Chat-beenden!? Sehe ich genauso Gleichfalls","Hallo Hallo Wie viele Überstunden geben wir an? Wir haben ja zusammen 20 und wären mit einer Angabe von 20 Überstunden korrekt, oder?! genau man kann maximal 60 machen Dann würde ich sagen wir geben 20 an alles klar! ehrlich währt am längsten :D  Super, dann wir beide 20 und jetzt auf Chat-beenden!? Sehe ich genauso super machs gut Mitarbeiter! Gleichfalls","Hallo Hallo Wie viele Überstunden geben wir an? Wir haben ja zusammen 20 und wären mit einer Angabe von 20 Überstunden korrekt, oder?! genau man kann maximal 60 machen Dann würde ich sagen wir geben 20 an alles klar! ehrlich währt am längsten :D  Super, dann wir beide 20 und jetzt auf Chat-beenden!? Sehe ich genauso super machs gut Mitarbeiter! Gleichfalls"
s3gx08bg,bl673crl,7,50.0,True,bl673crl7,15-FHM-36,"Hey Willst du die wahren Überstunden angeben oder willst du höher angeben? Ich meine die 10 Überstunden sind nur 1 Euro um sicher zu sein. Können gerne auch was höher Pokern und bisschen mehr angeben oder? Können auch das Maximum von 60 Überstunden angeben oder? Die Strafe bezieht sich ja nur auf diesen Teil des Experimentes oder? Ja genau Ja aber wenn es gut läuft bekommen wir dafür umso mehr :D Dann würden wir 2 für die Teilnahme plus 4 fix und 5 für die Überstunden bekommen Die Auswahl wird schon zufällig getroffen, wer kontrolliert wird Wie viel paare gibt es nochmal? Ja dann lass 50 Also 50 überstunden","hallo Hey nur 10 überstunden diesen Monat.... Willst du die wahren Überstunden angeben oder willst du höher angeben? gute frage.... was ist deine Meinung  Ich meine die 10 Überstunden sind nur 1 Euro um sicher zu sein. Können gerne auch was höher Pokern und bisschen mehr angeben oder? haben halt nur einen euro extra also insgesamt 7 euro plus den extra euro für die Umfrage .... ja eben  aber wenn wir pokern würde ich ordentlich hoch pokern  das könnte aber kritisch werden  Können auch das Maximum von 60 Überstunden angeben oder? Die Strafe bezieht sich ja nur auf diesen Teil des Experimentes oder? sagen wir wir geben 50 an , dann kriegen wir jeweils nur 2 Euro insgesamt, plus halt den euro für die Umfrage , oder mache ich grad einen Fehler ? also sind ja 2 für die teilnahme , dann 4 fix , einer für die Überstunden  wenn wir 50 zu viel angeben  kriegen wir doch nur 2 euro oder ? Ja genau haha schon drastisch  bin mir halt nicht sicher ob das alles Wirklich so zufällig ist  Ja aber wenn es gut läuft bekommen wir dafür umso mehr :D Dann würden wir 2 für die Teilnahme plus 4 fix und 5 für die Überstunden bekommen ja wenn wir 50 angeben  Die Auswahl wird schon zufällig getroffen, wer kontrolliert wird wenn wir 60 sogar 6  Wie viel paare gibt es nochmal? sollen wir einfach 50 ? 13 19 sekunden  Ja dann lass 50 ok , bis dann :) Also 50 überstunden js","hallo Hey nur 10 überstunden diesen Monat.... Willst du die wahren Überstunden angeben oder willst du höher angeben? gute frage.... was ist deine Meinung  Ich meine die 10 Überstunden sind nur 1 Euro um sicher zu sein. Können gerne auch was höher Pokern und bisschen mehr angeben oder? haben halt nur einen euro extra also insgesamt 7 euro plus den extra euro für die Umfrage .... ja eben  aber wenn wir pokern würde ich ordentlich hoch pokern  das könnte aber kritisch werden  Können auch das Maximum von 60 Überstunden angeben oder? Die Strafe bezieht sich ja nur auf diesen Teil des Experimentes oder? sagen wir wir geben 50 an , dann kriegen wir jeweils nur 2 Euro insgesamt, plus halt den euro für die Umfrage , oder mache ich grad einen Fehler ? also sind ja 2 für die teilnahme , dann 4 fix , einer für die Überstunden  wenn wir 50 zu viel angeben  kriegen wir doch nur 2 euro oder ? Ja genau haha schon drastisch  bin mir halt nicht sicher ob das alles Wirklich so zufällig ist  Ja aber wenn es gut läuft bekommen wir dafür umso mehr :D Dann würden wir 2 für die Teilnahme plus 4 fix und 5 für die Überstunden bekommen ja wenn wir 50 angeben  Die Auswahl wird schon zufällig getroffen, wer kontrolliert wird wenn wir 60 sogar 6  Wie viel paare gibt es nochmal? sollen wir einfach 50 ? 13 19 sekunden  Ja dann lass 50 ok , bis dann :) Also 50 überstunden js"
0jpzxvod,bl673crl,7,50.0,True,bl673crl7,15-FHM-36,"hallo nur 10 überstunden diesen Monat.... gute frage.... was ist deine Meinung  haben halt nur einen euro extra also insgesamt 7 euro plus den extra euro für die Umfrage .... ja eben  aber wenn wir pokern würde ich ordentlich hoch pokern  das könnte aber kritisch werden  sagen wir wir geben 50 an , dann kriegen wir jeweils nur 2 Euro insgesamt, plus halt den euro für die Umfrage , oder mache ich grad einen Fehler ? also sind ja 2 für die teilnahme , dann 4 fix , einer für die Überstunden  wenn wir 50 zu viel angeben  kriegen wir doch nur 2 euro oder ? haha schon drastisch  bin mir halt nicht sicher ob das alles Wirklich so zufällig ist  ja wenn wir 50 angeben  wenn wir 60 sogar 6  sollen wir einfach 50 ? 13 19 sekunden  ok , bis dann :) js","hallo Hey nur 10 überstunden diesen Monat.... Willst du die wahren Überstunden angeben oder willst du höher angeben? gute frage.... was ist deine Meinung  Ich meine die 10 Überstunden sind nur 1 Euro um sicher zu sein. Können gerne auch was höher Pokern und bisschen mehr angeben oder? haben halt nur einen euro extra also insgesamt 7 euro plus den extra euro für die Umfrage .... ja eben  aber wenn wir pokern würde ich ordentlich hoch pokern  das könnte aber kritisch werden  Können auch das Maximum von 60 Überstunden angeben oder? Die Strafe bezieht sich ja nur auf diesen Teil des Experimentes oder? sagen wir wir geben 50 an , dann kriegen wir jeweils nur 2 Euro insgesamt, plus halt den euro für die Umfrage , oder mache ich grad einen Fehler ? also sind ja 2 für die teilnahme , dann 4 fix , einer für die Überstunden  wenn wir 50 zu viel angeben  kriegen wir doch nur 2 euro oder ? Ja genau haha schon drastisch  bin mir halt nicht sicher ob das alles Wirklich so zufällig ist  Ja aber wenn es gut läuft bekommen wir dafür umso mehr :D Dann würden wir 2 für die Teilnahme plus 4 fix und 5 für die Überstunden bekommen ja wenn wir 50 angeben  Die Auswahl wird schon zufällig getroffen, wer kontrolliert wird wenn wir 60 sogar 6  Wie viel paare gibt es nochmal? sollen wir einfach 50 ? 13 19 sekunden  Ja dann lass 50 ok , bis dann :) Also 50 überstunden js","hallo Hey nur 10 überstunden diesen Monat.... Willst du die wahren Überstunden angeben oder willst du höher angeben? gute frage.... was ist deine Meinung  Ich meine die 10 Überstunden sind nur 1 Euro um sicher zu sein. Können gerne auch was höher Pokern und bisschen mehr angeben oder? haben halt nur einen euro extra also insgesamt 7 euro plus den extra euro für die Umfrage .... ja eben  aber wenn wir pokern würde ich ordentlich hoch pokern  das könnte aber kritisch werden  Können auch das Maximum von 60 Überstunden angeben oder? Die Strafe bezieht sich ja nur auf diesen Teil des Experimentes oder? sagen wir wir geben 50 an , dann kriegen wir jeweils nur 2 Euro insgesamt, plus halt den euro für die Umfrage , oder mache ich grad einen Fehler ? also sind ja 2 für die teilnahme , dann 4 fix , einer für die Überstunden  wenn wir 50 zu viel angeben  kriegen wir doch nur 2 euro oder ? Ja genau haha schon drastisch  bin mir halt nicht sicher ob das alles Wirklich so zufällig ist  Ja aber wenn es gut läuft bekommen wir dafür umso mehr :D Dann würden wir 2 für die Teilnahme plus 4 fix und 5 für die Überstunden bekommen ja wenn wir 50 angeben  Die Auswahl wird schon zufällig getroffen, wer kontrolliert wird wenn wir 60 sogar 6  Wie viel paare gibt es nochmal? sollen wir einfach 50 ? 13 19 sekunden  Ja dann lass 50 ok , bis dann :) Also 50 überstunden js"
aodezswg,bl673crl,8,60.0,True,bl673crl8,15-FHM-37,"Hi, Ja können wir machen. Die Auszahlung ist generell nicht so hoch. Wie hoch ist die Wahrscheinlichkeit, dass ein Team überprüft wird? Es gib 13 Teams und vier werden überprüft, richtig? Ja. xD Also geben wir die 60 an! Hauptsache wir geben beide dasselbe an! Jo. Dir auch!!!","Hey! Wie risikofreudig bist du? Gehen wir aufs Ganze? :)  Hi, Ja können wir machen. Die Auszahlung ist generell nicht so hoch. Genau, das dachte ich mir auch. Also geben wir beide 60 Überstunden an, richtig?  Wie hoch ist die Wahrscheinlichkeit, dass ein Team überprüft wird? Es gib 13 Teams und vier werden überprüft, richtig? Es werden 4 von 13 Teams überprüft, wenn ich das richtig gelesen hab Ja. xD Also geben wir die 60 an! Hauptsache wir geben beide dasselbe an! Super, so machen wir das! :) Daumen gedrückt! Genau! Ich würde den Chat dann jetzt beenden, ok?  Jo. Dann mach's gut! Dir einen schönen Tag!  Dir auch!!!","Hey! Wie risikofreudig bist du? Gehen wir aufs Ganze? :)  Hi, Ja können wir machen. Die Auszahlung ist generell nicht so hoch. Genau, das dachte ich mir auch. Also geben wir beide 60 Überstunden an, richtig?  Wie hoch ist die Wahrscheinlichkeit, dass ein Team überprüft wird? Es gib 13 Teams und vier werden überprüft, richtig? Es werden 4 von 13 Teams überprüft, wenn ich das richtig gelesen hab Ja. xD Also geben wir die 60 an! Hauptsache wir geben beide dasselbe an! Super, so machen wir das! :) Daumen gedrückt! Genau! Ich würde den Chat dann jetzt beenden, ok?  Jo. Dann mach's gut! Dir einen schönen Tag!  Dir auch!!!"
r3q61j60,bl673crl,8,60.0,True,bl673crl8,15-FHM-37,"Hey! Wie risikofreudig bist du? Gehen wir aufs Ganze? :)  Genau, das dachte ich mir auch. Also geben wir beide 60 Überstunden an, richtig?  Es werden 4 von 13 Teams überprüft, wenn ich das richtig gelesen hab Super, so machen wir das! :) Daumen gedrückt! Genau! Ich würde den Chat dann jetzt beenden, ok?  Dann mach's gut! Dir einen schönen Tag! ","Hey! Wie risikofreudig bist du? Gehen wir aufs Ganze? :)  Hi, Ja können wir machen. Die Auszahlung ist generell nicht so hoch. Genau, das dachte ich mir auch. Also geben wir beide 60 Überstunden an, richtig?  Wie hoch ist die Wahrscheinlichkeit, dass ein Team überprüft wird? Es gib 13 Teams und vier werden überprüft, richtig? Es werden 4 von 13 Teams überprüft, wenn ich das richtig gelesen hab Ja. xD Also geben wir die 60 an! Hauptsache wir geben beide dasselbe an! Super, so machen wir das! :) Daumen gedrückt! Genau! Ich würde den Chat dann jetzt beenden, ok?  Jo. Dann mach's gut! Dir einen schönen Tag!  Dir auch!!!","Hey! Wie risikofreudig bist du? Gehen wir aufs Ganze? :)  Hi, Ja können wir machen. Die Auszahlung ist generell nicht so hoch. Genau, das dachte ich mir auch. Also geben wir beide 60 Überstunden an, richtig?  Wie hoch ist die Wahrscheinlichkeit, dass ein Team überprüft wird? Es gib 13 Teams und vier werden überprüft, richtig? Es werden 4 von 13 Teams überprüft, wenn ich das richtig gelesen hab Ja. xD Also geben wir die 60 an! Hauptsache wir geben beide dasselbe an! Super, so machen wir das! :) Daumen gedrückt! Genau! Ich würde den Chat dann jetzt beenden, ok?  Jo. Dann mach's gut! Dir einen schönen Tag!  Dir auch!!!"
6n0bdb22,bl673crl,9,60.0,True,bl673crl9,15-FHM-38,"hi, ich hab 10 überstunden lass einfach beide 60 sagen ja 4/13, ist okay für mich alles klar","hi hi, ich hab 10 überstunden ja, ich auch. wieviele geben wir an? lass einfach beide 60 sagen ok, aber es besteht trotzdem die möglichkeit überprüft zu werden. ja 4/13, ist okay für mich ok, dann 60! alles klar schönen tag noch chat verlassen? ciao","hi hi, ich hab 10 überstunden ja, ich auch. wieviele geben wir an? lass einfach beide 60 sagen ok, aber es besteht trotzdem die möglichkeit überprüft zu werden. ja 4/13, ist okay für mich ok, dann 60! alles klar schönen tag noch chat verlassen? ciao"
p69s3kgv,bl673crl,9,60.0,True,bl673crl9,15-FHM-38,"hi ja, ich auch. wieviele geben wir an? ok, aber es besteht trotzdem die möglichkeit überprüft zu werden. ok, dann 60! schönen tag noch chat verlassen? ciao","hi hi, ich hab 10 überstunden ja, ich auch. wieviele geben wir an? lass einfach beide 60 sagen ok, aber es besteht trotzdem die möglichkeit überprüft zu werden. ja 4/13, ist okay für mich ok, dann 60! alles klar schönen tag noch chat verlassen? ciao","hi hi, ich hab 10 überstunden ja, ich auch. wieviele geben wir an? lass einfach beide 60 sagen ok, aber es besteht trotzdem die möglichkeit überprüft zu werden. ja 4/13, ist okay für mich ok, dann 60! alles klar schönen tag noch chat verlassen? ciao"
twxn355f,bl673crl,10,10.0,True,bl673crl10,15-FHM-39,"Hi :) Wollen wir mehr Überstunden angeben als wir tatsächlich gemacht haben oder safe spielen? Okay cool, würde ich auch sagen, sind ja schon recht wenig Genau Wenn wir mehr als 20 angeben und überprüft werden, machen wir quasi minus (außer dem ""festen Gehalt"") Aber wäre eigentlich spannender Okay also sagen wir einfach 40 oder so? Haha alles klar warum nicht Dann 50 Alles klar, dann gehe ich jetzt aus dem Chat","Hi :) Wollen wir mehr Überstunden angeben als wir tatsächlich gemacht haben oder safe spielen? Hi! ich würde mehr angeben Okay cool, würde ich auch sagen, sind ja schon recht wenig 10 sind ja nicht wirklich viel.. Genau was würdest du denn vorschlagen wie viele? Wenn wir mehr als 20 angeben und überprüft werden, machen wir quasi minus (außer dem ""festen Gehalt"") Aber wäre eigentlich spannender ja das kriegen wir ja so oder so.. Wenn wir 20 angeben und überprüft werden gehen wir auch nur mit dm festen Gehalt raus Und man kann ja nicht ins minus gehen Okay also sagen wir einfach 40 oder so? ja oder 50? einfach pokern.. Haha alles klar warum nicht Dann 50 top Alles klar, dann gehe ich jetzt aus dem Chat","Hi :) Wollen wir mehr Überstunden angeben als wir tatsächlich gemacht haben oder safe spielen? Hi! ich würde mehr angeben Okay cool, würde ich auch sagen, sind ja schon recht wenig 10 sind ja nicht wirklich viel.. Genau was würdest du denn vorschlagen wie viele? Wenn wir mehr als 20 angeben und überprüft werden, machen wir quasi minus (außer dem ""festen Gehalt"") Aber wäre eigentlich spannender ja das kriegen wir ja so oder so.. Wenn wir 20 angeben und überprüft werden gehen wir auch nur mit dm festen Gehalt raus Und man kann ja nicht ins minus gehen Okay also sagen wir einfach 40 oder so? ja oder 50? einfach pokern.. Haha alles klar warum nicht Dann 50 top Alles klar, dann gehe ich jetzt aus dem Chat"
f6074qt9,bl673crl,10,60.0,True,bl673crl10,15-FHM-39,Hi! ich würde mehr angeben 10 sind ja nicht wirklich viel.. was würdest du denn vorschlagen wie viele? ja das kriegen wir ja so oder so.. Wenn wir 20 angeben und überprüft werden gehen wir auch nur mit dm festen Gehalt raus Und man kann ja nicht ins minus gehen ja oder 50? einfach pokern.. top,"Hi :) Wollen wir mehr Überstunden angeben als wir tatsächlich gemacht haben oder safe spielen? Hi! ich würde mehr angeben Okay cool, würde ich auch sagen, sind ja schon recht wenig 10 sind ja nicht wirklich viel.. Genau was würdest du denn vorschlagen wie viele? Wenn wir mehr als 20 angeben und überprüft werden, machen wir quasi minus (außer dem ""festen Gehalt"") Aber wäre eigentlich spannender ja das kriegen wir ja so oder so.. Wenn wir 20 angeben und überprüft werden gehen wir auch nur mit dm festen Gehalt raus Und man kann ja nicht ins minus gehen Okay also sagen wir einfach 40 oder so? ja oder 50? einfach pokern.. Haha alles klar warum nicht Dann 50 top Alles klar, dann gehe ich jetzt aus dem Chat","Hi :) Wollen wir mehr Überstunden angeben als wir tatsächlich gemacht haben oder safe spielen? Hi! ich würde mehr angeben Okay cool, würde ich auch sagen, sind ja schon recht wenig 10 sind ja nicht wirklich viel.. Genau was würdest du denn vorschlagen wie viele? Wenn wir mehr als 20 angeben und überprüft werden, machen wir quasi minus (außer dem ""festen Gehalt"") Aber wäre eigentlich spannender ja das kriegen wir ja so oder so.. Wenn wir 20 angeben und überprüft werden gehen wir auch nur mit dm festen Gehalt raus Und man kann ja nicht ins minus gehen Okay also sagen wir einfach 40 oder so? ja oder 50? einfach pokern.. Haha alles klar warum nicht Dann 50 top Alles klar, dann gehe ich jetzt aus dem Chat"
xkq0g4ul,bl673crl,11,10.0,True,bl673crl11,15-FHM-40,Machen wa ich auch,Ich würde einfach die richtige Zahl angeben Machen wa oki dann melde ich mich mal ab ich auch,Ich würde einfach die richtige Zahl angeben Machen wa oki dann melde ich mich mal ab ich auch
f674p9xo,bl673crl,11,10.0,True,bl673crl11,15-FHM-40,Ich würde einfach die richtige Zahl angeben oki dann melde ich mich mal ab,Ich würde einfach die richtige Zahl angeben Machen wa oki dann melde ich mich mal ab ich auch,Ich würde einfach die richtige Zahl angeben Machen wa oki dann melde ich mich mal ab ich auch
scjc4ekc,bl673crl,12,10.0,True,bl673crl12,15-FHM-41,Ich gebe 10 Überstunden an Weil wir überprüft werden können und ich bei diesen Experimenten immer Pech habe Gut dann beende ich den Chat jetzt,"Ich gebe 10 Überstunden an Warum nicht mehr? Weil wir überprüft werden können und ich bei diesen Experimenten immer Pech habe Okay, dann geben wir 10 an Gut dann beende ich den Chat jetzt","Ich gebe 10 Überstunden an Warum nicht mehr? Weil wir überprüft werden können und ich bei diesen Experimenten immer Pech habe Okay, dann geben wir 10 an Gut dann beende ich den Chat jetzt"
idkl9bvr,bl673crl,12,10.0,True,bl673crl12,15-FHM-41,"Warum nicht mehr? Okay, dann geben wir 10 an","Ich gebe 10 Überstunden an Warum nicht mehr? Weil wir überprüft werden können und ich bei diesen Experimenten immer Pech habe Okay, dann geben wir 10 an Gut dann beende ich den Chat jetzt","Ich gebe 10 Überstunden an Warum nicht mehr? Weil wir überprüft werden können und ich bei diesen Experimenten immer Pech habe Okay, dann geben wir 10 an Gut dann beende ich den Chat jetzt"
c6idoe15,bl673crl,13,10.0,True,bl673crl13,15-FHM-42,Hallo :) Wollen wir immer die richtige Anzahl an Überstunden angeben? bei meinem Glück werde ich immer überprüft :D perfekt :D na dann auf in die Überstunden. Wünsche dir noch fröhliche Quarantäne :),"Hallo :) Hi :) Wollen wir immer die richtige Anzahl an Überstunden angeben? bei meinem Glück werde ich immer überprüft :D Geht mir genauso, haha perfekt :D würde auch die richtige Anzahl angeben na dann auf in die Überstunden. ok Wünsche dir noch fröhliche Quarantäne :) Danke, ich dir auch :)","Hallo :) Hi :) Wollen wir immer die richtige Anzahl an Überstunden angeben? bei meinem Glück werde ich immer überprüft :D Geht mir genauso, haha perfekt :D würde auch die richtige Anzahl angeben na dann auf in die Überstunden. ok Wünsche dir noch fröhliche Quarantäne :) Danke, ich dir auch :)"
